Title,Year,Genres,Language,Country,Content_Rating,Duration,Aspect_Ratio,Budget,Gross_Earnings,Director,Actor1,Actor2,Actor3,Reviews_by_Users,Reviews_by_Critics,IMDB_Score
Treasure Planet,2002,Adventure Animation Family Sci-Fi,English,USA,PG,95,1.5,140000000,38120554,Ron Clements,Joseph Gordon-Levitt,Martin Short,Michael Wincott,217,127,7.1
Tuck Everlasting,2002,Drama Family Fantasy Romance,English,USA,PG,90,2.35,15000000,19158074,Jay Russell,William Hurt,Sissy Spacek,Jonathan Jackson,127,69,6.7
Two Weeks Notice,2002,Comedy Romance,English,USA,PG-13,101,1.85,60000000,93307796,Marc Lawrence,Dorian Missick,Alicia Witt,Dana Ivey,269,118,6.1
Undercover Brother,2002,Action Comedy,English,USA,PG-13,86,1.85,25000000,38230435,Malcolm D. Lee,Dave Chappelle,Eddie Griffin,Chi McBride,179,81,5.8
Undisputed,2002,Action Crime Drama Sport,English,USA,R,94,2.35,20000000,12398628,Walter Hill,Fisher Stevens,Wes Studi,Jon Seda,88,64,6.1
Unfaithful,2002,Drama Thriller,English,USA,R,124,1.85,50000000,52752475,Adrian Lyne,Olivier Martinez,Erik Per Sullivan,Chad Lowe,533,152,6.7
Van Wilder: Party Liaison,2002,Comedy Romance,English,Germany,R,94,1.85,6000000,21005329,Walt Becker,Ryan Reynolds,Curtis Armstrong,Erik Estrada,258,96,6.4
We Were Soldiers,2002,Action Drama History War,English,USA,R,124,2.35,75000000,78120196,Randall Wallace,Jon Hamm,Marc Blucas,Chris Klein,742,141,7.1
Welcome to Collinwood,2002,Comedy Crime,English,USA,R,86,2.35,12000000,333976,Anthony Russo,Michael Jeter,Isaiah Washington,Andy Davoli,90,72,6.4
Whale Rider,2002,Drama Family,English,New Zealand,PG-13,101,2.35,6000000,20772796,Niki Caro,Keisha Castle-Hughes,Rawiri Paratene,Tammy Davis,346,149,7.6
White Oleander,2002,Drama,English,USA,PG-13,109,1.85,16000000,16346122,Peter Kosminsky,Patrick Fugit,Cole Hauser,Marc Donato,171,103,7.2
Windtalkers,2002,Action Drama War,English,USA,R,153,2.35,115000000,40911830,John Woo,Nicolas Cage,Roger Willie,Noah Emmerich,454,152,6
xXx,2002,Action Adventure Thriller,English,USA,PG-13,132,2.35,70000000,141204016,Rob Cohen,Vin Diesel,Eve,Leila Arcieri,737,191,5.8
11:14,2003,Comedy Crime Drama,English,USA,R,85,1.85,6000000,3810792,Greg Marcks,Henry Thomas,Barbara Hershey,Shawn Hatosy,133,68,7.2
2 Fast 2 Furious,2003,Action Crime Thriller,English,USA,PG-13,107,2.35,76000000,127083765,John Singleton,Paul Walker,Cole Hauser,Mo Gallini,370,150,5.9
21 Grams,2003,Drama,English,USA,R,124,1.85,20000000,16248701,Alejandro G. IÃ±Ã¡rritu,Naomi Watts,Eddie Marsan,Danny Huston,559,192,7.7
A Guy Thing,2003,Comedy Romance,English,USA,PG-13,101,1.85,20000000,15408822,Chris Koch,Thomas Lennon,Lochlyn Munro,James Brolin,92,81,5.6
A Man Apart,2003,Action Crime Drama Thriller,English,USA,R,109,2.35,36000000,26183197,F. Gary Gray,Vin Diesel,Jeff Kober,Larenz Tate,135,110,6.1
A Mighty Wind,2003,Comedy Music,English,USA,PG-13,91,1.85,6000000,17508936,Christopher Guest,Michael McKean,Christopher Guest,Laura Harris,272,97,7.3
Agent Cody Banks,2003,Action Adventure Comedy Crime Family Romance Thriller,English,USA,PG,102,2.35,26000000,47285499,Harald Zwart,Daniel Roebuck,Frankie Muniz,Chris Gauthier,104,79,5
Alex & Emma,2003,Comedy Romance,English,USA,PG-13,96,1.85,30000000,14208384,Rob Reiner,David Paymer,Lobo Sebastian,Robert Costanzo,105,73,5.6
All the Real Girls,2003,Drama Romance,English,USA,R,108,2.35,2500000,548712,David Gordon Green,Zooey Deschanel,Paul Schneider,Shea Whigham,126,88,6.9
American Splendor,2003,Biography Comedy Drama,English,USA,R,101,1.85,2000000,6003587,Shari Springer Berman,Josh Hutcherson,James Urbaniak,Daniel Tay,226,180,7.5
American Wedding,2003,Comedy Romance,English,USA,R,74,2.35,55000000,104354205,Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,332,153,6.3
Anything Else,2003,Comedy Romance,English,USA,R,108,2.35,18000000,3203044,Woody Allen,Woody Allen,Stockard Channing,Fisher Stevens,155,128,6.4
Bad Boys II,2003,Action Comedy Crime Thriller,English,USA,R,147,2.35,130000000,138396624,Michael Bay,Will Smith,Henry Rollins,Jordi MollÃ ,511,94,6.6
Bad Santa,2003,Comedy Crime Drama,English,USA,R,98,1.85,18000000,60057639,Terry Zwigoff,Bernie Mac,Tony Cox,Alex Borstein,485,195,7.1
Basic,2003,Action Crime Drama Mystery Thriller,English,Germany,R,98,2.35,50000000,26536120,John McTiernan,Connie Nielsen,Harry Connick Jr.,Tim Daly,286,131,6.5
Beyond Borders,2003,Adventure Drama Romance War,English,USA,R,127,2.35,35000000,4426297,Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,156,54,6.5
Big Fish,2003,Adventure Drama Fantasy,English,USA,PG-13,125,1.37,70000000,66257002,Tim Burton,Steve Buscemi,Alison Lohman,Albert Finney,816,235,8
Bon voyage,2003,Comedy Drama Mystery Romance Thriller War,French,France,PG-13,114,2.35,20000000,2353728,Jean-Paul Rappeneau,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,53,69,6.9
Bringing Down the House,2003,Comedy,English,USA,PG-13,105,2.35,33000000,132541238,Adam Shankman,Angus T. Jones,Kimberly J. Brown,Steve Harris,236,121,5.5
Bruce Almighty,2003,Comedy Drama,English,USA,PG-13,101,1.85,81000000,242589580,Tom Shadyac,Morgan Freeman,Steve Carell,Lisa Ann Walter,604,191,6.7
Bulletproof Monk,2003,Action Comedy Fantasy,English,USA,PG-13,104,2.35,52000000,23020488,Paul Hunter,Jaime King,Mako,Victoria Smurfit,180,127,5.5
Charlie's Angels: Full Throttle,2003,Action Adventure Comedy Crime,English,USA,PG-13,107,2.35,120000000,100685880,McG,Demi Moore,Bernie Mac,Justin Theroux,554,102,4.8
Chasing Papi,2003,Comedy Romance,English,USA,PG,76,1.85,9000000,6126237,Linda Mendoza,Carlos Ponce,Freddy RodrÃ­guez,Maria Conchita Alonso,41,32,4.8
Cheaper by the Dozen,2003,Comedy Family,English,USA,PG,94,1.85,40000000,138614544,Shawn Levy,Tom Welling,Alyson Stoner,Bonnie Hunt,288,104,5.8
Code 46,2003,Drama Romance Sci-Fi Thriller,English,UK,R,93,2.35,7500000,197148,Michael Winterbottom,Samantha Morton,Om Puri,Natalie Mendoza,150,133,6.3
Cold Mountain,2003,Adventure Drama History Romance War,English,USA,R,154,2.35,79000000,95632614,Anthony Minghella,Philip Seymour Hoffman,Natalie Portman,Charlie Hunnam,674,198,7.2
Confidence,2003,Crime Thriller,English,USA,R,97,2.35,15000000,12212417,James Foley,Louis Lombardi,Brian Van Holt,Leland Orser,144,119,6.7
Cradle 2 the Grave,2003,Action Crime Drama Thriller,English,USA,R,101,2.35,30000000,34604054,Andrzej Bartkowiak,Jet Li,Tom Arnold,DMX,185,109,5.8
Daddy Day Care,2003,Comedy Family,English,USA,PG,92,1.85,60000000,104148781,Steve Carr,Anjelica Huston,Lisa Edelstein,Jeff Garlin,116,81,5.5
Darkness Falls,2003,Horror Mystery Thriller,English,USA,PG-13,96,2.35,11000000,32131483,Jonathan Liebesman,Sullivan Stapleton,Emma Caulfield,Angus Sampson,369,140,4.9
Dickie Roberts: Former Child Star,2003,Comedy,English,USA,PG-13,98,2.35,17000000,22734486,Sam Weisman,Kevin Grevioux,Jenna Boyd,Mary McCormack,117,75,5.6
Dreamcatcher,2003,Drama Horror Sci-Fi Thriller,English,USA,R,136,2.35,68000000,33685268,Lawrence Kasdan,Morgan Freeman,Michael O'Neill,Reece Thompson,662,175,5.5
Dumb and Dumberer: When Harry Met Lloyd,2003,Comedy,English,USA,PG-13,85,1.37,19000000,26096584,Troy Miller,Elden Henson,Mimi Rogers,Cheri Oteri,267,85,3.4
Duplex,2003,Comedy,English,USA,PG-13,89,1.85,40000000,9652000,Danny DeVito,Justin Theroux,Amber Valletta,Harvey Fierstein,147,78,5.8
DysFunktional Family,2003,Comedy Documentary,English,USA,R,89,1.85,3000000,2223990,George Gallo,Eddie Griffin,Joe Howard,Robert Noble,14,23,6.6
Elf,2003,Comedy Family Fantasy Romance,English,USA,PG,97,1.85,33000000,173381405,Jon Favreau,Peter Dinklage,Zooey Deschanel,Will Ferrell,395,152,6.9
Final Destination 2,2003,Horror Thriller,English,USA,R,90,1.85,26000000,46455802,David R. Ellis,Sarah Carter,Michael Landes,Keegan Connor Tracy,472,175,6.2
Finding Nemo,2003,Adventure Animation Comedy Family,English,USA,G,100,1.85,94000000,380838870,Andrew Stanton,Alexander Gould,Stephen Root,Brad Garrett,866,301,8.2
Flywheel,2003,Drama,English,USA,NA,120,1.85,20000,NA,Alex Kendrick,Shannen Fields,Lisa Arnold,Janet Lee Dapper,49,5,6.9
Freaky Friday,2003,Comedy Family Fantasy Music Romance,English,USA,PG,97,1.85,26000000,110222438,Mark Waters,Jamie Lee Curtis,Julie Gonzalo,Willie Garson,271,129,6.1
Freddy vs. Jason,2003,Action Horror Thriller,English,USA,R,97,2.35,30000000,82163317,Ronny Yu,Katharine Isabelle,Jason Ritter,Zack Ward,885,273,5.8
From Justin to Kelly,2003,Comedy Musical Romance,English,USA,PG,90,1.85,12000000,4922166,Robert Iscove,Anika Noni Rose,Kelly Clarkson,Brian Dietzen,304,60,2.1
Gigli,2003,Comedy Crime Romance,English,USA,R,121,2.35,54000000,5660084,Martin Brest,Todd Giebenhain,Lenny Venito,David Backus,418,131,2.4
Girl with a Pearl Earring,2003,Biography Drama Romance,English,UK,PG-13,100,2.35,12000000,11634362,Peter Webber,Scarlett Johansson,Colin Firth,Tom Wilkinson,296,160,7
Gods and Generals,2003,Drama History War,English,USA,PG-13,280,2.35,56000000,12870569,Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle,497,84,6.3
Good Boy!,2003,Comedy Drama Family Fantasy Sci-Fi,English,USA,PG,87,1.85,17000000,37566230,John Hoffman,Liam Aiken,Molly Shannon,Kevin Nealon,48,52,5.1
Good Bye Lenin!,2003,Drama Romance,German,Germany,R,121,1.85,4800000,4063859,Wolfgang Becker,Florian Lukas,Chulpan Khamatova,Burghart KlauÃner,225,153,7.7
Gory Gory Hallelujah,2003,Comedy Fantasy Horror Musical,English,USA,NA,96,1.78,100000,11798,Sue Corcoran,Tony Doupe,Sue Corcoran,David Frederick White,18,8,4.7
Gothika,2003,Horror Mystery Thriller,English,USA,R,98,1.85,40000000,59588068,Mathieu Kassovitz,Robert Downey Jr.,Charles S. Dutton,Bernard Hill,376,207,5.8
Grand Theft Parsons,2003,Adventure Comedy Drama,English,USA,PG-13,88,1.85,NA,NA,David Caffrey,Marley Shelton,Scott Adsit,Jim Cody Williams,38,51,6.1
Head of State,2003,Comedy,English,USA,PG-13,95,1.85,35200000,37788228,Chris Rock,Bernie Mac,Dylan Baker,Tracy Morgan,80,44,5.4
High Tension,2003,Horror,French,France,Unrated,89,2.35,2200000,3645438,Alexandre Aja,CÃ©cile De France,MaÃ¯wenn,Oana Pellea,539,251,6.8
Holes,2003,Adventure Comedy Drama Family Mystery,English,USA,PG,117,1.85,20000000,67325559,Andrew Davis,Tim Blake Nelson,Zane Holtz,Ski Carr,331,106,7.1
Hollywood Homicide,2003,Action Comedy Crime Thriller,English,USA,PG-13,116,2.35,75000000,30013346,Ron Shelton,Harrison Ford,Bruce Greenwood,Lena Olin,254,132,5.3
Honey,2003,Drama Music Romance,English,USA,PG-13,94,1.85,25000000,30222640,Bille Woodruff,Christian Monzon,Mekhi Phifer,Romeo Miller,144,97,5.3
House of 1000 Corpses,2003,Horror,English,USA,R,105,1.85,7000000,12583510,Rob Zombie,Sid Haig,Matthew McGrory,Erin Daniels,922,202,6
House of Sand and Fog,2003,Drama,English,USA,R,126,1.85,15000000,13005485,Vadim Perelman,Frances Fisher,Kim Dickens,Ron Eldard,469,158,7.6
How to Deal,2003,Comedy Drama Romance,English,USA,PG-13,101,1.85,16000000,14108518,Clare Kilner,Dylan Baker,Alexandra Holden,Trent Ford,95,46,5.7
How to Lose a Guy in 10 Days,2003,Comedy Romance,English,USA,PG-13,116,1.85,50000000,105807520,Donald Petrie,Matthew McConaughey,Adam Goldberg,Thomas Lennon,357,140,6.4
Hulk,2003,Action Sci-Fi,English,USA,PG-13,138,1.85,137000000,132122995,Ang Lee,Kevin Rankin,Regi Davis,Celia Weston,1445,267,5.7
I Love Your Work,2003,Drama Mystery,English,USA,R,111,2.35,1650000,2580,Adam Goldberg,Judy Greer,Marisa Coughlan,Nicky Katt,40,22,5.4
Identity,2003,Mystery Thriller,English,USA,R,91,2.35,30000000,51475962,James Mangold,Clea DuVall,Rebecca De Mornay,Jake Busey,714,136,7.3
In the Cut,2003,Mystery Thriller,English,Australia,R,113,1.85,12000000,4717455,Jane Campion,Jennifer Jason Leigh,Nick Damici,Susan Gardner,354,138,5.3
Intolerable Cruelty,2003,Comedy Crime Romance,English,USA,PG-13,100,1.85,60000000,35096190,Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,322,161,6.3
Jeepers Creepers II,2003,Horror,English,USA,R,104,2.35,17000000,35143332,Victor Salva,Nicki Aycox,Jonathan Breck,Billy Aaron Brown,316,167,5.6
Johnny English,2003,Action Adventure Comedy,English,UK,PG,87,1.85,35000000,27972410,Peter Howitt,Kevin McNally,Natalie Imbruglia,Ben Miller,285,122,6.1
Just Married,2003,Comedy Romance,English,USA,PG-13,95,1.85,18000000,56127162,Shawn Levy,Taran Killam,David Agranov,David Moscow,205,97,5.4
Kangaroo Jack,2003,Action Adventure Comedy Crime,English,USA,PG,89,2.35,60000000,66734992,David McNally,Estella Warren,Dyan Cannon,Bill Hunter,181,73,4.4
Kill Bill: Vol. 1,2003,Action,English,USA,R,111,2.35,30000000,70098138,Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,2105,354,8.1
Lara Croft Tomb Raider: The Cradle of Life,2003,Action Adventure Fantasy,English,USA,PG-13,117,2.35,95000000,65653758,Jan de Bont,Gerard Butler,Angelina Jolie Pitt,Djimon Hounsou,316,157,5.5
Latter Days,2003,Comedy Drama Romance,English,USA,R,107,1.85,850000,819939,C. Jay Cox,Joseph Gordon-Levitt,Rob McElhenney,Jacqueline Bisset,252,35,7.2
"Legally Blonde 2: Red, White & Blonde",2003,Comedy,English,USA,PG-13,95,1.85,45000000,89808372,Charles Herman-Wurmfeld,Mary Lynn Rajskub,Bruce McGill,Bob Newhart,297,133,4.6
Looney Tunes: Back in Action,2003,Adventure Animation Comedy Family Fantasy Sci-Fi,English,Germany,PG,91,2.35,80000000,20950820,Joe Dante,Brendan Fraser,Jenna Elfman,Heather Locklear,160,101,5.7
Lost in Translation,2003,Drama,English,USA,R,101,1.85,4000000,44566004,Sofia Coppola,Scarlett Johansson,Bill Murray,Catherine Lambert,1848,265,7.8
Love Actually,2003,Comedy Drama Romance,English,UK,R,129,2.35,45000000,59365105,Richard Curtis,Colin Firth,Liam Neeson,Kris Marshall,1004,218,7.7
Malevolence,2003,Crime Horror Mystery Thriller,English,USA,R,90,1.33,200000,346085,Stevan Mena,R. Brandon Johnson,Stevan Mena,Richard Glover,112,60,5.1
Malibu's Most Wanted,2003,Comedy Crime,English,USA,PG-13,86,2.35,16000000,34308901,John Whitesell,Greg Grunberg,Regina Hall,Blair Underwood,87,37,5.1
Mambo Italiano,2003,Comedy Drama,English,Canada,R,92,1.85,5000000,6239558,Ãmile Gaudreault,Paul Sorvino,Luke Kirby,Claudia Ferri,67,67,6.7
Marci X,2003,Comedy Music,English,USA,R,80,1.85,20000000,1646664,Richard Benjamin,Damon Wayans,Jane Krakowski,Paula GarcÃ©s,66,28,2.8
Masked and Anonymous,2003,Comedy Drama Music,English,USA,PG-13,112,1.85,7500000,533344,Larry Charles,Jeff Bridges,Cheech Marin,Bruce Dern,95,51,5.5
Master and Commander: The Far Side of the World,2003,Action Adventure Drama History War,English,USA,PG-13,138,2.35,150000000,93926386,Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,684,244,7.4
Mona Lisa Smile,2003,Drama,English,USA,PG-13,117,1.85,65000000,63695760,Mike Newell,Julia Roberts,Kirsten Dunst,Marian Seldes,264,141,6.4
Monster,2003,Biography Crime Drama Thriller,English,USA,R,109,1.85,4500000,34468224,Patty Jenkins,Charlize Theron,Bruce Dern,Pruitt Taylor Vince,533,185,7.3
My Boss's Daughter,2003,Comedy Romance,English,USA,PG-13,90,1.85,14000000,15549702,David Zucker,Carmen Electra,Tyler Labine,Molly Shannon,123,56,4.6
My Life Without Me,2003,Drama Romance,English,Spain,R,106,1.85,2000000,395592,Isabel Coixet,Sarah Polley,Julian Richings,Amanda Plummer,134,72,7.6
Mystic River,2003,Crime Drama Mystery Thriller,English,USA,R,138,2.35,25000000,90135191,Clint Eastwood,John Doman,Spencer Treat Clark,Tom Guiry,935,229,8
Northfork,2003,Drama Fantasy,English,USA,PG-13,103,2.35,1900000,1420578,Michael Polish,Peter Coyote,Anthony Edwards,Jon Gries,122,60,6.4
Nothing,2003,Comedy Fantasy,English,Canada,R,90,2.35,NA,NA,Vincenzo Natali,David Hewlett,Angelo Tsarouchas,Marie-JosÃ©e Croze,50,38,6.3
Old School,2003,Comedy,English,USA,R,88,2.35,24000000,74608545,Todd Phillips,Will Ferrell,Leah Remini,Patrick Fischler,404,123,7.2
Once Upon a Time in Mexico,2003,Action Crime Thriller,English,USA,R,102,1.78,29000000,55845943,Robert Rodriguez,Johnny Depp,Salma Hayek,Enrique Iglesias,471,178,6.4
Open Range,2003,Drama Romance Western,English,USA,R,139,2.35,22000000,58328680,Kevin Costner,Robert Duvall,Michael Jeter,Julian Richings,494,153,7.5
Open Water,2003,Adventure Biography Drama Horror Thriller,English,USA,R,79,1.85,500000,30500882,Chris Kentis,Blanchard Ryan,Saul Stein,Daniel Travis,916,235,5.7
Out of Time,2003,Crime Drama Romance Thriller,English,USA,R,114,2.35,50000000,40905277,Carl Franklin,Denzel Washington,Sanaa Lathan,John Billingsley,157,124,6.5
Owning Mahowny,2003,Crime Drama Thriller,English,Canada,R,104,2.35,10000000,1011054,Richard Kwietniowski,Philip Seymour Hoffman,Minnie Driver,Maury Chaykin,83,82,7.2
Party Monster,2003,Biography Crime Drama Thriller,English,USA,R,98,1.85,5000000,296665,Fenton Bailey,Macaulay Culkin,Mia Kirshner,Marilyn Manson,158,39,6.3
Paycheck,2003,Action Mystery Sci-Fi Thriller,English,USA,PG-13,119,2.35,60000000,53789313,John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,347,196,6.3
Pieces of April,2003,Comedy Drama,English,USA,PG-13,80,1.85,300000,2360184,Peter Hedges,Oliver Platt,Adrian Martinez,Derek Luke,177,131,7.1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Action Adventure Fantasy,English,USA,PG-13,143,2.35,140000000,305388685,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,2113,271,8.1
Radio,2003,Biography Drama Sport,English,USA,PG,109,1.85,35000000,52277485,Michael Tollin,Alfre Woodard,Riley Smith,Debra Winger,196,74,6.9
Rugrats Go Wild,2003,Adventure Animation Comedy Family Fantasy Musical,English,USA,PG,80,2.35,25000000,39399750,John Eng,Elizabeth Daily,Cree Summer,Nancy Cartwright,35,45,5.6
S.W.A.T.,2003,Action Adventure Crime Thriller,English,USA,PG-13,117,2.35,80000000,116643346,Clark Johnson,Jeremy Renner,Josh Charles,LL Cool J,340,144,6
Saints and Soldiers,2003,Action Adventure Drama War,English,USA,PG-13,90,NA,780000,1310270,Ryan Little,Corbin Allred,Larry Bagby,Kirby Heyborne,157,33,6.8
Scary Movie 3,2003,Comedy,English,USA,PG-13,84,1.85,48000000,110000082,David Zucker,Regina Hall,Pamela Anderson,Jenny McCarthy,347,151,5.5
School of Rock,2003,Comedy Music,English,USA,PG-13,108,1.85,35000000,81257845,Richard Linklater,Miranda Cosgrove,Sarah Silverman,Mike White,479,204,7.1
Seabiscuit,2003,Drama History Sport,English,USA,PG-13,140,2.35,87000000,120147445,Gary Ross,Jeff Bridges,Michael Angarano,Michael O'Neill,455,175,7.3
Secondhand Lions,2003,Comedy Drama Family,English,USA,PG,111,1.85,30000000,41407470,Tim McCanlies,Haley Joel Osment,Robert Duvall,Emmanuelle Vaugier,292,82,7.6
Shade,2003,Crime Thriller,English,USA,R,101,2.35,6800000,10696,Damian Nieman,Glenn Plummer,Jason Cerbone,Mark De Alessandro,65,25,6.4
Shanghai Knights,2003,Action Adventure Comedy,English,USA,PG-13,114,2.35,50000000,60470220,David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,192,165,6.2
Shattered Glass,2003,Drama History,English,USA,PG-13,99,2.35,6000000,2207975,Billy Ray,Hayden Christensen,Rosario Dawson,Cas Anvar,190,129,7.2
Sinbad: Legend of the Seven Seas,2003,Adventure Animation Comedy Drama Family Fantasy Romance,English,USA,PG,85,1.66,60000000,26288320,Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West,91,98,6.7
Something's Gotta Give,2003,Comedy Drama Romance,English,USA,PG-13,128,1.85,80000000,124590960,Nancy Meyers,Keanu Reeves,Jon Favreau,Paul Michael Glaser,402,145,6.7
Spy Kids 3-D: Game Over,2003,Action Adventure Comedy Family Sci-Fi,English,USA,PG,84,1.85,38000000,111760631,Robert Rodriguez,Sylvester Stallone,Salma Hayek,Alexa PenaVega,188,93,4.1
Stuck on You,2003,Comedy,English,USA,PG-13,118,2.35,55000000,33828318,Bobby Farrelly,Matt Damon,Terence Bernie Hines,Seymour Cassel,154,123,5.8
Sur le seuil,2003,Action Drama Horror Thriller,French,Canada,NA,99,1.85,3200000,2014071,Ãric Tessier,Patrick Huard,Michel CÃ´tÃ©,Jean Pierre Bergeron,5,9,6.6
Swimming Pool,2003,Crime Drama Mystery Thriller,English,France,R,102,1.85,7800000,10105505,FranÃ§ois Ozon,Charlotte Rampling,Ludivine Sagnier,Jean-Claude Lecas,288,160,6.8
Tarnation,2003,Biography Documentary,English,USA,Unrated,88,1.37,218,592014,Jonathan Caouette,Greg Ayres,Jonathan Caouette,Renee Leblanc,114,72,7.2
Tears of the Sun,2003,Action Drama Thriller War,English,USA,R,142,2.35,70000000,43426961,Antoine Fuqua,Bruce Willis,Tom Skerritt,Cole Hauser,394,89,6.6
Terminator 3: Rise of the Machines,2003,Action Sci-Fi,English,USA,R,109,2.35,200000000,150350192,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,1676,280,6.4
The Barbarian Invasions,2003,Comedy Crime Drama Mystery Romance,French,Canada,R,112,2.35,6000000,3432342,Denys Arcand,Marie-JosÃ©e Croze,StÃ©phane Rousseau,Marina Hands,166,135,7.7
The Battle of Shaker Heights,2003,Comedy Drama Romance,English,USA,PG-13,79,1.85,1000000,279282,Efram Potelle,Shiri Appleby,Elden Henson,Kathleen Quinlan,49,29,6.1
"The Book of Mormon Movie, Volume 1: The Journey",2003,Adventure,English,USA,PG-13,120,1.85,2000000,1098224,Gary Rogers,Noah Danby,Kirby Heyborne,Bruce Newbold,30,7,3.3
The Brown Bunny,2003,Drama,English,USA,Not Rated,93,1.66,10000000,365734,Vincent Gallo,Vincent Gallo,Cheryl Tiegs,Anna Vareschi,226,115,5
The Cat in the Hat,2003,Adventure Comedy Family Fantasy,English,USA,PG,82,1.85,109000000,100446895,Bo Welch,Sean Hayes,Kelly Preston,Spencer Breslin,456,109,3.8
The Cooler,2003,Crime Drama Fantasy Romance,English,USA,R,101,2.35,3200000,8243880,Wayne Kramer,Estella Warren,Paul Sorvino,Shawn Hatosy,215,157,7
The Core,2003,Action Adventure Sci-Fi Thriller,English,USA,PG-13,135,2.35,60000000,31111260,Jon Amiel,Glenn Morshower,TchÃ©ky Karyo,Rekha Sharma,466,149,5.4
The Flower of Evil,2003,Drama,French,France,R,104,1.66,6000000,181798,Claude Chabrol,BenoÃ®t Magimel,Nathalie Baye,MÃ©lanie Doutey,36,60,6.6
The Haunted Mansion,2003,Comedy Family Fantasy Horror Mystery,English,USA,PG,88,2.35,90000000,75817994,Rob Minkoff,Marsha Thomason,Rachael Harris,Marc John Jefferies,179,122,4.9
The Hebrew Hammer,2003,Comedy,English,USA,R,87,1.85,1000000,19539,Jonathan Kesselman,Judy Greer,Adam Goldberg,Tony Cox,53,35,6.2
The Hunted,2003,Action Crime Drama Thriller,English,USA,R,94,1.85,55000000,34238611,William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn,321,135,6
The Italian Job,2003,Action Crime Thriller,English,USA,PG-13,111,2.35,60000000,106126012,F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert,497,155,7
The Jungle Book 2,2003,Adventure Animation Family Musical,English,USA,G,72,1.85,20000000,47887943,Steve Trenbirth,Haley Joel Osment,Phil Collins,Tony Jay,58,85,5.4
The Last Samurai,2003,Action Drama History War,English,USA,R,154,2.35,140000000,111110575,Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,928,190,7.7
The League of Extraordinary Gentlemen,2003,Action Adventure Fantasy Sci-Fi,English,USA,PG-13,110,2.35,78000000,66462600,Stephen Norrington,Jason Flemyng,Max Ryan,Tony Curran,786,202,5.8
The Life of David Gale,2003,Crime Drama Thriller,English,USA,R,130,2.35,50000000,19593740,Alan Parker,Kevin Spacey,Kate Winslet,Matt Craven,420,141,7.5
The Lizzie McGuire Movie,2003,Adventure Comedy Family Music Romance,English,USA,PG,94,2.35,17000000,42672630,Jim Fall,Clayton Snyder,Adam Lamberg,Alex Borstein,172,66,5.3
The Lord of the Rings: The Return of the King,2003,Action Adventure Drama Fantasy,English,USA,PG-13,192,2.35,94000000,377019252,Peter Jackson,Orlando Bloom,Billy Boyd,Bernard Hill,3189,328,8.9
The Matrix Reloaded,2003,Action Sci-Fi,English,USA,R,138,2.35,150000000,281492479,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,2789,275,7.2
The Matrix Revolutions,2003,Action Sci-Fi,English,Australia,R,129,2.35,150000000,139259759,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,2121,245,6.7
The Medallion,2003,Action Comedy Fantasy,English,Hong Kong,PG-13,108,2.35,41000000,22108977,Gordon Chan,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,132,98,5.2
The Mudge Boy,2003,Crime Drama Romance,English,USA,R,94,NA,800000,62852,Michael Burke,Zachary Knighton,Tom Guiry,Ryan Donowho,30,17,7.2
The Order,2003,Action Mystery Thriller,English,USA,R,102,1.85,38000000,7659747,Brian Helgeland,Heath Ledger,Mark Addy,Benno FÃ¼rmann,204,112,5.1
The R.M.,2003,Comedy Crime Family,English,USA,PG,101,NA,500000,1111615,Kurt Hale,Kirby Heyborne,Big Budah,Curt Doussett,34,3,6
The Real Cancun,2003,Documentary,English,USA,R,96,1.85,8000000,3713002,Rick de Oliveira,Laura Ramsey,Alan Taylor,Benjamin Fletcher,62,52,2.7
The Rundown,2003,Action Adventure Comedy Thriller,English,USA,PG-13,104,2.35,85000000,47592825,Peter Berg,Dwayne Johnson,Rosario Dawson,Ewen Bremner,255,151,6.7
The Singing Detective,2003,Comedy Crime Musical Mystery,English,USA,R,109,1.85,8000000,336456,Keith Gordon,Robert Downey Jr.,Robin Wright,Alfre Woodard,79,66,5.6
The Statement,2003,Drama Thriller,English,Canada,R,120,1.85,23000000,763044,Norman Jewison,Charlotte Rampling,Colin Salmon,John Neville,52,54,6.2
